,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,predSignalNoActionUtility,rotation,revTargetDict,recTraj,recActSeq,sigTraj,sigActSeq
0,"(4, 0)","(4, 6)",green triangle75,"['square', 'purple', 'triangle', 'green']","{(7, 5): 'green triangle75', (1, 7): 'green square17', (5, 9): 'purple triangle59'}",3,N,PragOnly,green,0,"{'green triangle75': (7, 5), 'green square17': (1, 7), 'purple triangle59': (5, 9)}","{'green triangle75': [(4, 6), (5, 6), (6, 6), (7, 6), (7, 5)], 'green square17': [(4, 6), (4, 7), (3, 7), (2, 7), (1, 7)], 'purple triangle59': [(4, 6), (5, 6), (5, 7), (5, 8), (5, 9)]}","{'green triangle75': ['right', 'right', 'right', 'down'], 'green square17': ['up', 'left', 'left', 'left'], 'purple triangle59': ['right', 'up', 'up', 'up']}","{'green triangle75': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5), (7, 5)], 'green square17': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7)], 'purple triangle59': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (5, 9)]}","{'green triangle75': ['up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green square17': ['left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple triangle59': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right']}"
1,"(0, 5)","(6, 5)",orange circle59,"['square', 'orange', 'circle', 'green']","{(5, 9): 'orange circle59', (7, 1): 'orange square71', (4, 3): 'green circle43'}",3,N,PragOnly,orange,90,"{'orange circle59': (5, 9), 'orange square71': (7, 1), 'green circle43': (4, 3)}","{'orange circle59': [(6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (5, 9)], 'orange square71': [(6, 5), (6, 4), (6, 3), (6, 2), (6, 1), (7, 1)], 'green circle43': [(6, 5), (6, 4), (6, 3), (5, 3), (4, 3)]}","{'orange circle59': ['up', 'up', 'up', 'up', 'left'], 'orange square71': ['down', 'down', 'down', 'down', 'right'], 'green circle43': ['down', 'down', 'left', 'left']}","{'orange circle59': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9)], 'orange square71': [(0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)], 'green circle43': [(0, 5), (0, 4), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3)]}","{'orange circle59': ['right', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'up'], 'orange square71': ['down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'right'], 'green circle43': ['down', 'down', 'right', 'right', 'right', 'right']}"
2,"(5, 9)","(5, 3)",orange square11,"['square', 'orange', 'triangle', 'green']","{(1, 1): 'orange square11', (8, 0): 'orange triangle80', (8, 5): 'green square85'}",3,N,PragOnly,orange,180,"{'orange square11': (1, 1), 'orange triangle80': (8, 0), 'green square85': (8, 5)}","{'orange square11': [(5, 3), (4, 3), (3, 3), (2, 3), (1, 3), (1, 2), (1, 1)], 'orange triangle80': [(5, 3), (6, 3), (7, 3), (8, 3), (8, 2), (8, 1), (8, 0)], 'green square85': [(5, 3), (5, 4), (5, 5), (6, 5), (7, 5), (8, 5)]}","{'orange square11': ['left', 'left', 'left', 'left', 'down', 'down'], 'orange triangle80': ['right', 'right', 'right', 'down', 'down', 'down'], 'green square85': ['up', 'up', 'right', 'right', 'right']}","{'orange square11': [(5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1)], 'orange triangle80': [(5, 9), (6, 9), (7, 9), (8, 9), (8, 8), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (8, 2), (8, 1), (8, 0)], 'green square85': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (6, 5), (7, 5), (8, 5)]}","{'orange square11': ['left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'orange triangle80': ['right', 'right', 'right', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'green square85': ['down', 'down', 'down', 'down', 'right', 'right', 'right']}"
3,"(9, 4)","(3, 4)",orange triangle07,"['orange', 'circle', 'triangle', 'green']","{(0, 7): 'orange triangle07', (0, 1): 'orange circle01', (4, 0): 'green triangle40'}",3,N,PragOnly,orange,270,"{'orange triangle07': (0, 7), 'orange circle01': (0, 1), 'green triangle40': (4, 0)}","{'orange triangle07': [(3, 4), (3, 5), (3, 6), (3, 7), (2, 7), (1, 7), (0, 7)], 'orange circle01': [(3, 4), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)], 'green triangle40': [(3, 4), (4, 4), (4, 3), (4, 2), (4, 1), (4, 0)]}","{'orange triangle07': ['up', 'up', 'up', 'left', 'left', 'left'], 'orange circle01': ['left', 'left', 'left', 'down', 'down', 'down'], 'green triangle40': ['right', 'down', 'down', 'down', 'down']}","{'orange triangle07': [(9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7)], 'orange circle01': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)], 'green triangle40': [(9, 4), (9, 3), (9, 2), (9, 1), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), (4, 0)]}","{'orange triangle07': ['up', 'up', 'up', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left'], 'orange circle01': ['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'down', 'down'], 'green triangle40': ['down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'left']}"
4,"(4, 0)","(4, 6)",green circle29,"['square', 'circle', 'purple', 'green']","{(2, 9): 'green circle29', (6, 9): 'green square69', (5, 4): 'purple circle54'}",3,N,PragOnly,green,0,"{'green circle29': (2, 9), 'green square69': (6, 9), 'purple circle54': (5, 4)}","{'green circle29': [(4, 6), (3, 6), (2, 6), (2, 7), (2, 8), (2, 9)], 'green square69': [(4, 6), (4, 7), (4, 8), (4, 9), (5, 9), (6, 9)], 'purple circle54': [(4, 6), (4, 5), (4, 4), (5, 4)]}","{'green circle29': ['left', 'left', 'up', 'up', 'up'], 'green square69': ['up', 'up', 'up', 'right', 'right'], 'purple circle54': ['down', 'down', 'right']}","{'green circle29': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9)], 'green square69': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (5, 9), (6, 9)], 'purple circle54': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4)]}","{'green circle29': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'green square69': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'purple circle54': ['up', 'up', 'up', 'up', 'right']}"
5,"(0, 5)","(6, 5)",green square94,"['square', 'purple', 'triangle', 'green']","{(9, 4): 'green square94', (8, 7): 'green triangle87', (5, 1): 'purple square51'}",3,N,PragOnly,green,90,"{'green square94': (9, 4), 'green triangle87': (8, 7), 'purple square51': (5, 1)}","{'green square94': [(6, 5), (6, 4), (7, 4), (8, 4), (9, 4)], 'green triangle87': [(6, 5), (7, 5), (8, 5), (8, 6), (8, 7)], 'purple square51': [(6, 5), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1)]}","{'green square94': ['down', 'right', 'right', 'right'], 'green triangle87': ['right', 'right', 'up', 'up'], 'purple square51': ['left', 'down', 'down', 'down', 'down']}","{'green square94': [(0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4)], 'green triangle87': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (8, 6), (8, 7)], 'purple square51': [(0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (5, 3), (5, 2), (5, 1)]}","{'green square94': ['down', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right'], 'green triangle87': ['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'up', 'up'], 'purple square51': ['down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down']}"
6,"(5, 9)","(5, 3)",green triangle85,"['purple', 'circle', 'triangle', 'green']","{(8, 5): 'green triangle85', (1, 4): 'green circle14', (9, 1): 'purple triangle91'}",3,N,PragOnly,green,180,"{'green triangle85': (8, 5), 'green circle14': (1, 4), 'purple triangle91': (9, 1)}","{'green triangle85': [(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5)], 'green circle14': [(5, 3), (4, 3), (3, 3), (2, 3), (1, 3), (1, 4)], 'purple triangle91': [(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 2), (9, 1)]}","{'green triangle85': ['right', 'right', 'right', 'up', 'up'], 'green circle14': ['left', 'left', 'left', 'left', 'up'], 'purple triangle91': ['right', 'right', 'right', 'right', 'down', 'down']}","{'green triangle85': [(5, 9), (6, 9), (7, 9), (8, 9), (8, 8), (8, 7), (8, 6), (8, 5)], 'green circle14': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4)], 'purple triangle91': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 2), (9, 1)]}","{'green triangle85': ['right', 'right', 'right', 'down', 'down', 'down', 'down'], 'green circle14': ['down', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'left'], 'purple triangle91': ['down', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down']}"
7,"(9, 4)","(3, 4)",purple circle26,"['square', 'orange', 'circle', 'purple']","{(2, 6): 'purple circle26', (5, 3): 'purple square53', (0, 2): 'orange circle02'}",3,N,PragOnly,purple,270,"{'purple circle26': (2, 6), 'purple square53': (5, 3), 'orange circle02': (0, 2)}","{'purple circle26': [(3, 4), (2, 4), (2, 5), (2, 6)], 'purple square53': [(3, 4), (3, 3), (4, 3), (5, 3)], 'orange circle02': [(3, 4), (3, 3), (3, 2), (2, 2), (1, 2), (0, 2)]}","{'purple circle26': ['left', 'up', 'up'], 'purple square53': ['down', 'right', 'right'], 'orange circle02': ['down', 'down', 'left', 'left', 'left']}","{'purple circle26': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (2, 5), (2, 6)], 'purple square53': [(9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)], 'orange circle02': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2)]}","{'purple circle26': ['left', 'left', 'left', 'left', 'left', 'left', 'left', 'up', 'up'], 'purple square53': ['down', 'left', 'left', 'left', 'left'], 'orange circle02': ['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'down']}"
8,"(4, 0)","(4, 6)",purple square85,"['square', 'orange', 'triangle', 'purple']","{(8, 5): 'purple square85', (2, 9): 'purple triangle29', (1, 4): 'orange square14'}",3,N,PragOnly,purple,0,"{'purple square85': (8, 5), 'purple triangle29': (2, 9), 'orange square14': (1, 4)}","{'purple square85': [(4, 6), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)], 'purple triangle29': [(4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9)], 'orange square14': [(4, 6), (3, 6), (2, 6), (1, 6), (1, 5), (1, 4)]}","{'purple square85': ['down', 'right', 'right', 'right', 'right'], 'purple triangle29': ['up', 'up', 'up', 'left', 'left'], 'orange square14': ['left', 'left', 'left', 'down', 'down']}","{'purple square85': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5)], 'purple triangle29': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9)], 'orange square14': [(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (2, 4), (1, 4)]}","{'purple square85': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up'], 'purple triangle29': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left'], 'orange square14': ['left', 'up', 'up', 'up', 'up', 'left', 'left']}"
9,"(0, 5)","(6, 5)",purple triangle89,"['orange', 'circle', 'triangle', 'purple']","{(8, 9): 'purple triangle89', (8, 1): 'purple circle81', (4, 8): 'orange triangle48'}",3,N,PragOnly,purple,90,"{'purple triangle89': (8, 9), 'purple circle81': (8, 1), 'orange triangle48': (4, 8)}","{'purple triangle89': [(6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (7, 9), (8, 9)], 'purple circle81': [(6, 5), (6, 4), (6, 3), (6, 2), (6, 1), (7, 1), (8, 1)], 'orange triangle48': [(6, 5), (6, 6), (6, 7), (6, 8), (5, 8), (4, 8)]}","{'purple triangle89': ['up', 'up', 'up', 'up', 'right', 'right'], 'purple circle81': ['down', 'down', 'down', 'down', 'right', 'right'], 'orange triangle48': ['up', 'up', 'up', 'left', 'left']}","{'purple triangle89': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9)], 'purple circle81': [(0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)], 'orange triangle48': [(0, 5), (0, 6), (0, 7), (0, 8), (1, 8), (2, 8), (3, 8), (4, 8)]}","{'purple triangle89': ['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'up'], 'purple circle81': ['down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right'], 'orange triangle48': ['up', 'up', 'up', 'right', 'right', 'right', 'right']}"
10,"(5, 9)","(5, 3)",orange circle50,"['square', 'orange', 'circle', 'green']","{(5, 0): 'orange circle50', (4, 5): 'green circle45', (8, 4): 'orange square84'}",3,N,PragOnly,circle,180,"{'orange circle50': (5, 0), 'green circle45': (4, 5), 'orange square84': (8, 4)}","{'orange circle50': [(5, 3), (5, 2), (5, 1), (5, 0)], 'green circle45': [(5, 3), (5, 4), (5, 5), (4, 5)], 'orange square84': [(5, 3), (5, 4), (6, 4), (7, 4), (8, 4)]}","{'orange circle50': ['down', 'down', 'down'], 'green circle45': ['up', 'up', 'left'], 'orange square84': ['up', 'right', 'right', 'right']}","{'orange circle50': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1), (5, 0)], 'green circle45': [(5, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)], 'orange square84': [(5, 9), (6, 9), (7, 9), (8, 9), (8, 8), (8, 7), (8, 6), (8, 5), (8, 4)]}","{'orange circle50': ['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'green circle45': ['left', 'down', 'down', 'down', 'down'], 'orange square84': ['right', 'right', 'right', 'down', 'down', 'down', 'down', 'down']}"
11,"(9, 4)","(3, 4)",orange square01,"['square', 'orange', 'triangle', 'green']","{(0, 1): 'orange square01', (5, 8): 'green square58', (4, 0): 'orange triangle40'}",3,N,PragOnly,square,270,"{'orange square01': (0, 1), 'green square58': (5, 8), 'orange triangle40': (4, 0)}","{'orange square01': [(3, 4), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)], 'green square58': [(3, 4), (4, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)], 'orange triangle40': [(3, 4), (3, 3), (3, 2), (3, 1), (3, 0), (4, 0)]}","{'orange square01': ['left', 'left', 'left', 'down', 'down', 'down'], 'green square58': ['right', 'right', 'up', 'up', 'up', 'up'], 'orange triangle40': ['down', 'down', 'down', 'down', 'right']}","{'orange square01': [(9, 4), (9, 3), (9, 2), (9, 1), (8, 1), (7, 1), (6, 1), (5, 1), (4, 1), (3, 1), (2, 1), (1, 1), (0, 1)], 'green square58': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)], 'orange triangle40': [(9, 4), (9, 3), (9, 2), (9, 1), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), (4, 0)]}","{'orange square01': ['down', 'down', 'down', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left'], 'green square58': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up'], 'orange triangle40': ['down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'left']}"
12,"(4, 0)","(4, 6)",orange triangle15,"['orange', 'circle', 'triangle', 'green']","{(1, 5): 'orange triangle15', (6, 8): 'green triangle68', (7, 4): 'orange circle74'}",3,N,PragOnly,triangle,0,"{'orange triangle15': (1, 5), 'green triangle68': (6, 8), 'orange circle74': (7, 4)}","{'orange triangle15': [(4, 6), (3, 6), (2, 6), (1, 6), (1, 5)], 'green triangle68': [(4, 6), (5, 6), (6, 6), (6, 7), (6, 8)], 'orange circle74': [(4, 6), (5, 6), (6, 6), (7, 6), (7, 5), (7, 4)]}","{'orange triangle15': ['left', 'left', 'left', 'down'], 'green triangle68': ['right', 'right', 'up', 'up'], 'orange circle74': ['right', 'right', 'right', 'down', 'down']}","{'orange triangle15': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5)], 'green triangle68': [(4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8)], 'orange circle74': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4), (7, 4)]}","{'orange triangle15': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left'], 'green triangle68': ['right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'orange circle74': ['up', 'up', 'up', 'up', 'right', 'right', 'right']}"
13,"(0, 5)","(6, 5)",green circle43,"['square', 'circle', 'purple', 'green']","{(4, 3): 'green circle43', (6, 9): 'purple circle69', (9, 6): 'green square96'}",3,N,PragOnly,circle,90,"{'green circle43': (4, 3), 'purple circle69': (6, 9), 'green square96': (9, 6)}","{'green circle43': [(6, 5), (5, 5), (4, 5), (4, 4), (4, 3)], 'purple circle69': [(6, 5), (6, 6), (6, 7), (6, 8), (6, 9)], 'green square96': [(6, 5), (6, 6), (7, 6), (8, 6), (9, 6)]}","{'green circle43': ['left', 'left', 'down', 'down'], 'purple circle69': ['up', 'up', 'up', 'up'], 'green square96': ['up', 'right', 'right', 'right']}","{'green circle43': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (4, 3)], 'purple circle69': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9)], 'green square96': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (9, 6)]}","{'green circle43': ['right', 'right', 'right', 'right', 'down', 'down'], 'purple circle69': ['right', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'up'], 'green square96': ['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'up']}"
14,"(5, 9)","(5, 3)",green square31,"['square', 'triangle', 'purple', 'green']","{(3, 1): 'green square31', (6, 0): 'purple square60', (6, 5): 'green triangle65'}",3,N,PragOnly,square,180,"{'green square31': (3, 1), 'purple square60': (6, 0), 'green triangle65': (6, 5)}","{'green square31': [(5, 3), (5, 2), (5, 1), (4, 1), (3, 1)], 'purple square60': [(5, 3), (5, 2), (5, 1), (5, 0), (6, 0)], 'green triangle65': [(5, 3), (5, 4), (5, 5), (6, 5)]}","{'green square31': ['down', 'down', 'left', 'left'], 'purple square60': ['down', 'down', 'down', 'right'], 'green triangle65': ['up', 'up', 'right']}","{'green square31': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1), (4, 1), (3, 1)], 'purple square60': [(5, 9), (5, 8), (6, 8), (6, 7), (6, 6), (6, 5), (6, 4), (6, 3), (6, 2), (6, 1), (6, 0)], 'green triangle65': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (6, 5)]}","{'green square31': ['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'left'], 'purple square60': ['down', 'right', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'green triangle65': ['down', 'down', 'down', 'down', 'right']}"
15,"(9, 4)","(3, 4)",green triangle30,"['purple', 'circle', 'triangle', 'green']","{(3, 0): 'green triangle30', (1, 2): 'purple triangle12', (4, 8): 'green circle48'}",3,N,PragOnly,triangle,270,"{'green triangle30': (3, 0), 'purple triangle12': (1, 2), 'green circle48': (4, 8)}","{'green triangle30': [(3, 4), (3, 3), (3, 2), (3, 1), (3, 0)], 'purple triangle12': [(3, 4), (3, 3), (3, 2), (2, 2), (1, 2)], 'green circle48': [(3, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)]}","{'green triangle30': ['down', 'down', 'down', 'down'], 'purple triangle12': ['down', 'down', 'left', 'left'], 'green circle48': ['right', 'up', 'up', 'up', 'up']}","{'green triangle30': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (3, 3), (3, 2), (3, 1), (3, 0)], 'purple triangle12': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4), (1, 3), (1, 2)], 'green circle48': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)]}","{'green triangle30': ['left', 'left', 'left', 'left', 'left', 'left', 'down', 'down', 'down', 'down'], 'purple triangle12': ['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'down'], 'green circle48': ['left', 'left', 'left', 'left', 'left', 'up', 'up', 'up', 'up']}"
16,"(4, 0)","(4, 6)",purple circle87,"['square', 'orange', 'circle', 'purple']","{(8, 7): 'purple circle87', (0, 7): 'orange circle07', (3, 4): 'purple square34'}",3,N,PragOnly,circle,0,"{'purple circle87': (8, 7), 'orange circle07': (0, 7), 'purple square34': (3, 4)}","{'purple circle87': [(4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'orange circle07': [(4, 6), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7)], 'purple square34': [(4, 6), (4, 5), (4, 4), (3, 4)]}","{'purple circle87': ['up', 'right', 'right', 'right', 'right'], 'orange circle07': ['up', 'left', 'left', 'left', 'left'], 'purple square34': ['down', 'down', 'left']}","{'purple circle87': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'orange circle07': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)], 'purple square34': [(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4)]}","{'purple circle87': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'orange circle07': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square34': ['left', 'up', 'up', 'up', 'up']}"
17,"(0, 5)","(6, 5)",purple square87,"['square', 'orange', 'triangle', 'purple']","{(8, 7): 'purple square87', (7, 2): 'orange square72', (4, 9): 'purple triangle49'}",3,N,PragOnly,square,90,"{'purple square87': (8, 7), 'orange square72': (7, 2), 'purple triangle49': (4, 9)}","{'purple square87': [(6, 5), (7, 5), (8, 5), (8, 6), (8, 7)], 'orange square72': [(6, 5), (7, 5), (7, 4), (7, 3), (7, 2)], 'purple triangle49': [(6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (5, 9), (4, 9)]}","{'purple square87': ['right', 'right', 'up', 'up'], 'orange square72': ['right', 'down', 'down', 'down'], 'purple triangle49': ['up', 'up', 'up', 'up', 'left', 'left']}","{'purple square87': [(0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'orange square72': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (7, 4), (7, 3), (7, 2)], 'purple triangle49': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9)]}","{'purple square87': ['up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right'], 'orange square72': ['right', 'right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down'], 'purple triangle49': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up']}"
18,"(5, 9)","(5, 3)",purple triangle22,"['orange', 'circle', 'triangle', 'purple']","{(2, 2): 'purple triangle22', (4, 0): 'orange triangle40', (6, 5): 'purple circle65'}",3,N,PragOnly,triangle,180,"{'purple triangle22': (2, 2), 'orange triangle40': (4, 0), 'purple circle65': (6, 5)}","{'purple triangle22': [(5, 3), (4, 3), (3, 3), (2, 3), (2, 2)], 'orange triangle40': [(5, 3), (5, 2), (5, 1), (5, 0), (4, 0)], 'purple circle65': [(5, 3), (6, 3), (6, 4), (6, 5)]}","{'purple triangle22': ['left', 'left', 'left', 'down'], 'orange triangle40': ['down', 'down', 'down', 'left'], 'purple circle65': ['right', 'up', 'up']}","{'purple triangle22': [(5, 9), (4, 9), (3, 9), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2)], 'orange triangle40': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1), (5, 0), (4, 0)], 'purple circle65': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (6, 5)]}","{'purple triangle22': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'orange triangle40': ['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'left'], 'purple circle65': ['down', 'down', 'down', 'down', 'right']}"
